specObjID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,z
4134334236747034624,24.32667,21.42122,20.11646,20.06271,19.71462,22.66313,21.38791,20.10303,20.01386,19.72399,3.848144
8314859985050464256,21.34359,21.16462,20.99001,20.62011,20.72059,21.19192,21.082,20.99298,20.62025,20.74357,1.935783
7916448094056280064,21.57382,20.74082,20.44867,20.05672,20.01487,21.17733,20.65831,20.37942,19.95998,19.64953,0.5672913
6056295139050713088,21.53321,20.91603,20.75709,20.71404,20.6126,21.51119,20.88288,20.74373,20.6859,20.12395,2.672638
6975079219861319680,23.09136,22.10833,21.5975,21.35299,20.81085,20.36717,22.04303,21.55595,21.36076,20.54744,2.872834
518074518124652544,17.85222,17.53328,17.35509,17.23849,17.01966,17.84071,17.52727,17.3285,17.22164,17.0084,0.826711
6123904659788328960,25.15997,23.22705,21.61586,20.63399,20.05839,21.37353,22.24281,20.49862,19.52587,19.57523,1.177956
3735807167345827840,20.19566,19.45737,19.05426,19.067,18.85682,20.12566,19.44876,19.05554,19.03645,18.80256,2.422957
8462350400153647104,22.12838,22.35993,21.93768,22.1783,21.79637,22.0511,22.17171,21.85159,22.21845,21.78036,1.439044
1614698022673868800,24.63522,19.1273,18.27429,18.74781,22.82685,24.6347,18.52742,16.99436,18.33672,22.82692,0.1267061
8261949285659766784,21.68021,21.31294,21.11036,21.01317,20.42208,21.7028,21.08291,21.07942,20.77732,19.63133,2.191208
4852854640540839936,21.39736,20.75814,20.60193,20.29762,19.98435,21.36853,20.73095,20.42899,20.10152,19.78848,0.5535567
6792664740721782784,21.34887,20.69964,20.74309,20.70857,20.40006,21.14463,20.6348,20.75168,20.67536,20.12701,2.393437
5199457540798869504,22.63986,22.04222,22.1419,22.25305,21.99031,21.57977,22.01181,22.08105,22.12108,21.90957,2.467092
8263083709113759744,20.23774,19.11926,19.08275,19.14789,19.02897,20.19143,19.08333,19.08001,19.1286,19.05516,2.884212
5113901246415826944,23.41881,21.43415,21.21622,21.16928,20.72319,23.50859,21.42482,21.24304,21.10258,20.59468,3.003112
7573013986930257920,23.11737,21.71912,21.67479,21.60579,21.38996,22.61223,21.68463,21.63552,21.33145,20.99097,2.513923
4366280060853481472,22.42094,21.23389,21.13771,21.18922,21.24995,22.23828,21.23171,21.14853,21.17187,20.94025,2.87804
6108168723544862720,22.81094,21.75238,21.884,21.73195,21.43303,22.25796,21.66646,21.77141,21.74172,20.29669,2.311182
7301601739764592640,21.86824,21.42481,21.26415,20.90046,20.94323,21.58489,21.44083,21.24482,20.85545,20.25191,1.879095
7942110147806687232,21.90017,21.47632,21.6104,21.37905,21.48138,21.59391,21.42589,21.50125,21.38178,21.52221,1.784482
7230572738619568128,21.13112,20.72366,20.33491,19.83233,19.87693,21.19203,20.66958,20.30721,19.87042,19.9131,1.833481
7298137178893905920,21.97141,21.07488,20.98262,20.88719,20.71992,22.06064,21.02896,20.97427,20.81302,20.77267,2.697417
8003007150929145856,22.06344,19.72008,19.6126,19.39001,19.21763,21.92441,19.73495,19.5888,19.38666,19.23064,2.947708
7657349828875841536,23.92168,21.95882,21.03084,20.84236,21.27007,22.49729,21.9737,21.05306,20.7476,20.95512,1.796087
4703130846671597568,22.44994,21.57183,21.35495,21.3133,22.00491,20.11254,21.51876,21.37062,21.13133,20.0279,2.362752
5837944499145994240,21.43254,20.78172,20.72575,20.78115,20.49321,21.24575,20.78409,20.71513,20.78893,20.47295,2.29707
7555048517057310720,20.71829,20.27929,19.86187,19.8204,19.87667,20.85444,20.28612,19.86967,19.83252,19.90671,1.047582
5252358903719194624,22.30534,20.55843,20.19763,20.23249,20.1597,21.85528,20.44204,20.19262,20.2248,20.11066,3.034843
2360054487835502592,18.77001,18.72834,18.77904,18.86023,18.31974,18.73934,18.70026,18.75211,18.82826,18.32841,0.3423076
7562919370725978112,20.53231,20.51795,20.26356,20.15249,19.9007,20.49074,20.43693,20.21837,19.98934,19.80026,0.9839748
8149437635178983424,22.23123,21.40763,21.24682,21.34337,21.78354,22.16424,21.35795,21.18412,21.334,21.90065,2.656138
6827692982629232640,21.94949,21.02628,20.91871,21.03069,21.08643,21.68132,20.98832,20.8424,21.01878,21.08946,2.707317
7085485861051756544,22.45284,21.74024,21.55925,21.5494,21.31662,22.44329,21.66182,21.51593,21.28516,21.27331,2.232213
2085305500106254336,19.4645,19.37427,19.19581,19.00178,18.74041,19.43825,19.37131,19.19309,19.00428,18.74886,2.053661
